author_channel_id,author_display_name,network_community,behavior_cluster,persona
UCduCWoSqk19Y9L-Dlc6Q71g,@ReemZaiad,49,3,Casual Viewer
UCccclFTcQ-gMkmGa4DmE66g,@Barsheka,49,3,Casual Viewer
UC2sihLVMhDhhNZ_jInpLang,@Baby_cartoon11,49,3,Casual Viewer
UCkAUy-c3b4RZRN8eSurPlmA,@IbrahimIssa-e2c,11,3,Casual Viewer
UCYNM_G0wX9KF1hKelm5oyoQ,@AnasElmaraoui,50,3,Casual Viewer
UCFSgPL1BfWB9kNA0D19BmnQ,@MohamedMaklad-f5r,50,3,Casual Viewer
UCZHrGzez647VqCJ_ABPmHZA,@fayzamosa8534,50,3,Casual Viewer
UCFV4oUBIWjkJwpA55xOPi7w,@حنينحنين-ل3د,50,3,Casual Viewer
UCJkXdYCYbC67_4Wu3IV9tzA,@just_GSK,50,3,Casual Viewer
UCrijeIv9Ij4D-ZiJVucsiSw,@سالمسعيد-ق7ج,50,3,Casual Viewer
UCxSIHSqnnPyZhcRhTRL2y3Q,@mohammadaljarrah-o3p,20,3,Casual Viewer
UCzoH5c0A28krNnvTFPtlhHQ,@WaleedZghoul-l5m,51,3,Casual Viewer
UC-aZ6G4oEBNrN1AvAUGtJKw,@BatoolKhaldon,51,3,Casual Viewer
UCuiGZZ5DJzpUBVazIIwQebw,@MoustaphaHasba,51,3,Casual Viewer
UCih0fkeLlg9HQl9ZS7EhfCg,@AyoubChahide,51,3,Casual Viewer
UCbeNMMWKkIKLvenksd-05KA,@asmaaennab,51,3,Casual Viewer
UCHKFqUIKgGtL1m8x_p-r3AQ,@احلامالزغول-ك4د,18,3,Casual Viewer
